Player,player_url,player_RND,player_rating,player_ACS,player_KAST,player_KD_ratio,player_ADR,player_KPR,player_APR,player_FKPR,player_FDPR,player_HS,player_CL_percent,player_CL,player_top_3_agents_1_image,player_top_3_agents_2_image,player_top_3_agents_3_image,Rank,Gold,Silver,Bronze,S Tier,Earnings
soulcas,https://www.vlr.gg/player/101/soulcas,257,0.88,168.6,69%,0.89,115.7,0.61,0.29,0.05,0.09,33%,6%,2/34,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,17,11,5,3,0,"$68,163"
Derrek,https://www.vlr.gg/player/1533/derrek,157,0.87,168.0,71%,0.83,114.4,0.61,0.29,0.07,0.06,36%,8%,2/24,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,261,8,6,2,0,"$10,415"
Benkai,https://www.vlr.gg/player/9802/benkai,174,0.87,164.8,73%,0.79,109.8,0.57,0.3,0.05,0.07,29%,10%,3/30,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,132,9,4,1,0,"$17,779"
Klaus,https://www.vlr.gg/player/2610/klaus,144,0.84,161.3,67%,0.76,109.5,0.56,0.33,0.04,0.07,22%,,0/14,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,48,6,3,1,0,"$38,200"
Asuna,https://www.vlr.gg/player/601/asuna,157,0.81,184.7,69%,0.79,112.2,0.62,0.32,0.11,0.14,22%,8%,1/13,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,28,2,5,6,0,"$48,570"
foxz,https://www.vlr.gg/player/6723/foxz,103,0.78,197.4,64%,0.88,129.3,0.69,0.14,0.11,0.12,24%,21%,3/14,https://www.vlr.gg/img/vlr/game/agents/phoenix.png,https://www.vlr.gg/img/vlr/game/agents/yoru.png,https://www.vlr.gg/img/vlr/game/agents/sova.png,71,11,2,1,0,"$29,083"
Khalil,https://www.vlr.gg/player/1711/khalil,113,0.77,154.6,65%,0.77,103.8,0.57,0.27,0.06,0.09,24%,8%,1/13,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,,176,4,2,3,0,"$14,944"
ANGE1,https://www.vlr.gg/player/109/ange1,357,0.75,159.6,65%,0.68,106.5,0.53,0.28,0.08,0.15,31%,10%,2/21,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,https://www.vlr.gg/img/vlr/game/agents/omen.png,53,11,5,0,0,"$35,806"
crow,https://www.vlr.gg/player/1000/crow,148,0.72,136.9,67%,0.66,95.6,0.47,0.32,0.03,0.05,29%,14%,2/14,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,67,9,3,2,0,"$29,367"
Surf,https://www.vlr.gg/player/23062/surf,103,0.71,175.6,55%,0.77,117.4,0.61,0.12,0.12,0.23,25%,,0/8,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/jett.png,,477,2,1,0,0,"$5,777"
BerserX,https://www.vlr.gg/player/4874/berserx,131,0.66,155.8,61%,0.69,100.7,0.55,0.12,0.12,0.19,18%,,0/6,https://www.vlr.gg/img/vlr/game/agents/jett.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/neon.png,232,7,5,2,0,"$11,496"
