Player,player_url,player_RND,player_rating,player_ACS,player_KAST,player_KD_ratio,player_ADR,player_KPR,player_APR,player_FKPR,player_FDPR,player_HS,player_CL_percent,player_CL,player_top_3_agents_1_image,player_top_3_agents_2_image,player_top_3_agents_3_image
Rb,https://www.vlr.gg/player/488/rb,416,0.94,192.4,70%,0.94,126.1,0.66,0.22,0.11,0.11,27%,10%,3/31,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/killjoy.png,https://www.vlr.gg/img/vlr/game/agents/chamber.png
SugarZ3ro,https://www.vlr.gg/player/6668/sugarz3ro,148,0.93,190.6,73%,0.90,120.6,0.66,0.32,0.07,0.07,31%,24%,4/17,https://www.vlr.gg/img/vlr/game/agents/astra.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,https://www.vlr.gg/img/vlr/game/agents/omen.png
adverso,https://www.vlr.gg/player/3826/adverso,179,0.93,191.0,68%,0.89,126.8,0.63,0.28,0.06,0.06,22%,,0/11,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/viper.png
mindfreak,https://www.vlr.gg/player/9800/mindfreak,174,0.93,164.6,70%,0.83,110.9,0.56,0.28,0.05,0.09,29%,14%,4/29,https://www.vlr.gg/img/vlr/game/agents/astra.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png
dimasick,https://www.vlr.gg/player/320/dimasick,257,0.91,166.1,72%,0.86,109.5,0.59,0.29,0.06,0.07,38%,12%,3/26,https://www.vlr.gg/img/vlr/game/agents/omen.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png,https://www.vlr.gg/img/vlr/game/agents/sova.png
dephh,https://www.vlr.gg/player/882/dephh,285,0.91,173.5,75%,0.84,112.3,0.59,0.36,0.06,0.08,28%,3%,1/32,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png
Jinggg,https://www.vlr.gg/player/7378/jinggg,174,0.91,234.8,68%,0.95,154.2,0.79,0.21,0.15,0.14,20%,,0/9,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/reyna.png
FNS,https://www.vlr.gg/player/817/fns,492,0.90,164.7,70%,0.79,110.8,0.53,0.33,0.03,0.07,21%,7%,5/67,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/fade.png
blaZek1ng,https://www.vlr.gg/player/1743/blazek1ng,131,0.90,176.0,63%,0.84,112.2,0.59,0.27,0.05,0.07,27%,,0/33,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/brimstone.png
stellar,https://www.vlr.gg/player/733/stellar,157,0.90,162.9,72%,0.78,114.6,0.55,0.33,0.04,0.10,29%,4%,1/26,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png
TENNN,https://www.vlr.gg/player/1395/tennn,148,0.88,191.3,65%,0.83,127.6,0.62,0.22,0.14,0.16,26%,,0/13,https://www.vlr.gg/img/vlr/game/agents/killjoy.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png
soulcas,https://www.vlr.gg/player/101/soulcas,257,0.88,168.6,69%,0.89,115.7,0.61,0.29,0.05,0.09,33%,6%,2/34,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png
Haodong,https://www.vlr.gg/player/4720/haodong,107,0.87,174.6,65%,0.84,116.4,0.61,0.21,0.09,0.09,33%,9%,1/11,https://www.vlr.gg/img/vlr/game/agents/astra.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/breach.png
Derrek,https://www.vlr.gg/player/1533/derrek,157,0.87,168.0,71%,0.83,114.4,0.61,0.29,0.07,0.06,36%,8%,2/24,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/breach.png
Benkai,https://www.vlr.gg/player/9802/benkai,174,0.87,164.8,73%,0.79,109.8,0.57,0.30,0.05,0.07,29%,10%,3/30,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png,https://www.vlr.gg/img/vlr/game/agents/sage.png
Klaus,https://www.vlr.gg/player/2610/klaus,144,0.84,161.3,67%,0.76,109.5,0.56,0.33,0.04,0.07,22%,,0/14,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png
nobody,https://www.vlr.gg/player/3017/nobody,107,0.82,165.8,70%,0.76,109.5,0.58,0.19,0.06,0.08,29%,10%,1/10,https://www.vlr.gg/img/vlr/game/agents/fade.png,https://www.vlr.gg/img/vlr/game/agents/sova.png,
Asuna,https://www.vlr.gg/player/601/asuna,157,0.81,184.7,69%,0.79,112.2,0.62,0.32,0.11,0.14,22%,8%,1/13,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/raze.png
